Num	RSSI	Frequency	Phase
1	-40.5	915.25	5.608233760509904
2	-40.5	915.25	5.620505606812989
3	-41.5	925.25	4.301282129231338
4	-40.0	905.75	0.5829126993965437
5	-40.0	905.75	0.5890486225480862
6	-40.0	905.75	0.5829126993965437
7	-40.0	905.75	0.5767767762450011
8	-40.5	909.25	0.14726215563702155
9	-40.0	907.25	0.39269908169872414
10	-40.5	920.75	4.847379289718626
11	-40.5	908.75	0.2086213871524472
12	-40.5	908.75	0.21475731030398976
13	-40.5	908.75	0.21475731030398976
14	-40.5	908.75	0.22089323345553233
15	-41.5	927.25	4.123340357836604
16	-41.5	926.25	4.184699589352029
17	-41.5	926.25	4.178563666200486
18	-41.5	926.25	4.178563666200486
19	-41.5	926.25	4.129476280988146
20	-39.5	904.75	0.6320000846088841
21	-40.5	913.25	5.915029918087033
22	-41.0	921.25	4.828971520263998
23	-40.0	902.75	1.000155473701438
24	-40.0	902.75	0.9878836273983529
25	-40.0	903.75	0.8774370106705868
26	-41.5	926.75	4.2092432819582
27	-41.0	926.75	4.196971435655114
28	-40.5	909.75	0.14726215563702155
29	-40.5	905.25	0.6872233929727672
